,brand,name,price,spec_rating,processor,CPU,Ram,ROM,ROM_type,GPU,display_size,resolution,OS,warranty
331,Asus,Vivobook 15 X1504ZA-NJ325WS Laptop,40990,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB DDR4 ,512GB,SSD,Integrated Intel UHD Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
332,Lenovo,IdeaPad Slim 5i 82XF003CIN Laptop,69990,62.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16GB  LPDDR5 ,512GB,SSD,Integrated Intel Iris Xe Graphics,16inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
333,Asus,Zenbook Flip 14 OLED UP5401ZA-KU741WS Laptop,94990,75.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16GB LPDDR5 ,512GB,SSD,Intel Integrated Iris Xe,14inches,3840x2400pixels,Windows 11 OS,1 Year Warranty
334,Asus,VivoBook 15 X1500EA-EJ326WS Laptop,37990,,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",8GB DDR4  ,512GB,SSD,Intel UHD Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
335,Lenovo,LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop,73990,69.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB DDR5 ,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
336,Lenovo,LOQ 15APH8 82XT009CIN 2023 Gaming Laptop,109990,75.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB DDR5 ,512GB,SSD,8GB NVIDIA GeForce RTX 4060,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
337,Acer,Nitro 5 AN515-58 NH.QFHSI.008 Gaming Laptop,65999,65.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
338,Acer,Aspire Lite AL15-51 2023 Laptop,35990,,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8GB DDR4 ,512GB,SSD,AMD Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
339,Asus,Vivobook 15 X1504ZA-NJ321WS Laptop,37980,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB DDR4 ,512GB,SSD,Integrated Intel UHD Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
340,Lenovo,IdeaPad Slim 5i 82XF003DIN Laptop,85889,63.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16GB  LPDDR5 ,512GB,SSD,Integrated Intel Iris Xe Graphics,16inches,1920x1200pixels,Windows 11 OS,2 Year Warranty
